application_id,applicant_name,household_income,employment_status,num_children,child_ages,childcare_hours_requested,housing_situation,partner_employed,recent_municipal_support,flags,incomplete_docs,high_hours_request,income_mismatch
A001,Laura Visser,63506,unemployed,1,3,137,municipal housing,TRUE,food aid,"{'incomplete_docs': True, 'high_hours_request': True, 'income_mismatch': False}",TRUE,TRUE,FALSE
A006,Laura Visser,63506,unemployed,1,3,127,municipal housing,TRUE,food aid,"{'incomplete_docs': False, 'high_hours_request': True, 'income_mismatch': False}",FALSE,TRUE,FALSE
A010,Laura Visser,63506,unemployed,1,3,123,municipal housing,TRUE,food aid,"{'incomplete_docs': True, 'high_hours_request': True, 'income_mismatch': False}",TRUE,TRUE,FALSE
A013,Laura Visser,63506,unemployed,1,3,111,municipal housing,TRUE,food aid,"{'incomplete_docs': True, 'high_hours_request': True, 'income_mismatch': False}",TRUE,TRUE,FALSE
A016,Laura Visser,63506,unemployed,1,3,122,municipal housing,TRUE,food aid,"{'incomplete_docs': False, 'high_hours_request': True, 'income_mismatch': False}",FALSE,TRUE,FALSE
A002,Amina Hassan,20130,unemployed,1,3,100,temporary shelter,TRUE,food aid,"{'incomplete_docs': False, 'high_hours_request': False, 'income_mismatch': False}",FALSE,FALSE,FALSE
A020,Amina Hassan,20130,unemployed,1,3,62,temporary shelter,TRUE,food aid,"{'incomplete_docs': True, 'high_hours_request': False, 'income_mismatch': False}",TRUE,FALSE,FALSE
A003,Raj Patel,22287,part-time,1,3,71,rental,TRUE,"housing benefit,food aid","{'incomplete_docs': True, 'high_hours_request': False, 'income_mismatch': False}",TRUE,FALSE,FALSE
A008,Raj Patel,22287,part-time,1,3,83,rental,TRUE,"housing benefit,food aid","{'incomplete_docs': False, 'high_hours_request': False, 'income_mismatch': False}",FALSE,FALSE,FALSE
A012,Raj Patel,22287,part-time,1,3,48,rental,TRUE,"housing benefit,food aid","{'incomplete_docs': True, 'high_hours_request': False, 'income_mismatch': False}",TRUE,FALSE,FALSE
A019,Raj Patel,22287,part-time,1,3,44,rental,TRUE,"housing benefit,food aid","{'incomplete_docs': False, 'high_hours_request': False, 'income_mismatch': False}",FALSE,FALSE,FALSE
A004,Mohammed El Amrani,89012,part-time,1,6,97,municipal housing,TRUE,food aid,"{'incomplete_docs': False, 'high_hours_request': False, 'income_mismatch': False}",FALSE,FALSE,FALSE
A005,Anouk Smit,40585,self-employed,3,"2,5,6",104,owned,FALSE,"housing benefit,food aid","{'incomplete_docs': True, 'high_hours_request': True, 'income_mismatch': False}",TRUE,TRUE,FALSE
A014,Anouk Smit,40585,self-employed,3,"2,5,6",42,owned,FALSE,"housing benefit,food aid","{'incomplete_docs': True, 'high_hours_request': False, 'income_mismatch': False}",TRUE,FALSE,FALSE
A007,Kimberly van Dijk,38086,unemployed,4,"0,1,2,3",86,temporary shelter,FALSE,food aid,"{'incomplete_docs': False, 'high_hours_request': False, 'income_mismatch': False}",FALSE,FALSE,FALSE
A009,Sara Nguyen,23952,self-employed,1,3,82,municipal housing,FALSE,housing benefit,"{'incomplete_docs': True, 'high_hours_request': False, 'income_mismatch': False}",TRUE,FALSE,FALSE
A015,Sara Nguyen,23952,self-employed,1,3,137,municipal housing,FALSE,housing benefit,"{'incomplete_docs': False, 'high_hours_request': True, 'income_mismatch': False}",FALSE,TRUE,FALSE
A011,Carlos Mendes,44269,part-time,3,"1,3,5",62,rental,TRUE,food aid,"{'incomplete_docs': True, 'high_hours_request': False, 'income_mismatch': False}",TRUE,FALSE,FALSE
A017,Fatima de Jong,82736,part-time,1,0,68,municipal housing,FALSE,"housing benefit,food aid","{'incomplete_docs': True, 'high_hours_request': False, 'income_mismatch': False}",TRUE,FALSE,FALSE
